Series ID,Year,Period,Label,Value
CUUR0000SETD,2023,M08,2023 Aug,391.395
CUUR0000SETD,2023,M09,2023 Sep,392.222
CUUR0000SETD,2023,M10,2023 Oct,392.861
CUUR0000SETD,2023,M11,2023 Nov,393.924
CUUR0000SETD,2023,M12,2023 Dec,392.897
CUUR0000SETD,2024,M01,2024 Jan,396.004
CUUR0000SETD,2024,M02,2024 Feb,397.541
CUUR0000SETD,2024,M03,2024 Mar,404.475
CUUR0000SETD,2024,M04,2024 Apr,404.380
CUUR0000SETD,2024,M05,2024 May,405.487
CUUR0000SETD,2024,M06,2024 Jun,406.321
CUUR0000SETD,2024,M07,2024 Jul,405.109
CUUR0000SETD,2024,M08,2024 Aug,407.374
CUUR0000SETD,2024,M09,2024 Sep,411.276
CUUR0000SETD,2024,M10,2024 Oct,415.598
CUUR0000SETD,2024,M11,2024 Nov,416.418
CUUR0000SETD,2024,M12,2024 Dec,417.312
CUUR0000SETD,2025,M01,2025 Jan,419.417
CUUR0000SETD,2025,M02,2025 Feb,420.480
CUUR0000SETD,2025,M03,2025 Mar,424.012
CUUR0000SETD,2025,M04,2025 Apr,426.849
CUUR0000SETD,2025,M05,2025 May,426.264
CUUR0000SETD,2025,M06,2025 Jun,427.256
CUUR0000SETD,2025,M07,2025 Jul,431.604
CUUR0000SETD,2025,M08,2025 Aug,441.987
CUUR0000SETD,2025,M09,2025 Sep,442.843
