Series ID,Year,Period,Label,Value,12-Month Net Change,12-Month % Change
WPU03,2022,M08,2022 Aug,187.665,N/A,13.6
WPU03,2022,M09,2022 Sep,187.633,N/A,12.4
WPU03,2022,M10,2022 Oct,187.156,N/A,10.3
WPU03,2022,M11,2022 Nov,187.039,N/A,9.2
WPU03,2022,M12,2022 Dec,185.709,N/A,8.1
WPU03,2023,M01,2023 Jan,185.667,N/A,6.6
WPU03,2023,M02,2023 Feb,185.049,N/A,5.4
WPU03,2023,M03,2023 Mar,184.918,N/A,4.2
WPU03,2023,M04,2023 Apr,184.512,N/A,1.9
WPU03,2023,M05,2023 May,183.810,N/A,0.5
WPU03,2023,M06,2023 Jun,183.632,N/A,-0.4
WPU03,2023,M07,2023 Jul,183.966,N/A,-1.0
WPU03,2023,M08,2023 Aug,182.835,N/A,-2.6
WPU03,2023,M09,2023 Sep,184.551,N/A,-1.6
WPU03,2023,M10,2023 Oct,185.231,N/A,-1.0
WPU03,2023,M11,2023 Nov,184.783,N/A,-1.2
WPU03,2023,M12,2023 Dec,184.592,N/A,-0.6
WPU03,2024,M01,2024 Jan,184.724,N/A,-0.5
WPU03,2024,M02,2024 Feb,184.391,N/A,-0.4
WPU03,2024,M03,2024 Mar,186.053,N/A,0.6
WPU03,2024,M04,2024 Apr,186.015,N/A,0.8
WPU03,2024,M05,2024 May,186.989,N/A,1.7
WPU03,2024,M06,2024 Jun,186.469,N/A,1.5
WPU03,2024,M07,2024 Jul,185.681,N/A,0.9
WPU03,2024,M08,2024 Aug,185.670,N/A,1.6
WPU03,2024,M09,2024 Sep,184.868,N/A,0.2
WPU03,2024,M10,2024 Oct,185.183,N/A,0.0
WPU03,2024,M11,2024 Nov,183.663,N/A,-0.6
WPU03,2024,M12,2024 Dec,185.063,N/A,0.3
WPU03,2025,M01,2025 Jan,186.239,N/A,0.8
WPU03,2025,M02,2025 Feb,185.676,N/A,0.7
WPU03,2025,M03,2025 Mar,185.829,N/A,-0.1
WPU03,2025,M04,2025 Apr,186.586,N/A,0.3
WPU03,2025,M05,2025 May,185.714,N/A,-0.7
WPU03,2025,M06,2025 Jun,186.961,N/A,0.3
WPU03,2025,M07,2025 Jul,187.798,N/A,1.1
WPU03,2025,M08,2025 Aug,187.521,N/A,1.0
WPU03,2025,M09,2025 Sep,188.804,N/A,2.1
